NATION,HDI,LE2013,MEANYRSCH,EYRSCH,GNI2013,HDI2012,CHINRANK,DL
Norway,0.944,81.5,12.6,17.6,63909.00,0.943,0,very high
Australia,0.933,82.5,12.8,19.9,41524.00,0.931,0,very high
Switzerland,0.917,82.6,12.2,15.7,53762.00,0.916,0,very high
Netherlands,0.915,81,11.9,17.9,42397.00,0.915,0,very high
United States,0.914,78.9,12.9,16.5,52308.00,0.912,0,very high
Germany,0.911,80.7,12.9,16.3,43049.00,0.911,0,very high
New Zealand,0.91,81.1,12.5,19.4,32569.00,0.908,0,very high
Canada,0.902,81.5,12.3,15.9,41887.00,0.901,0,very high
Singapore,0.901,82.3,10.2,15.4,72371.00,0.899,3,very high
Denmark,0.9,79.4,12.1,16.9,42880.00,0.9,0,very high
Ireland,0.899,80.7,11.6,18.6,33414.00,0.901,-3,very high
Sweden,0.898,81.8,11.7,15.8,43201.00,0.897,-1,very high
Iceland,0.895,82.1,10.4,18.7,35116.00,0.893,0,very high
United Kingdom,0.892,80.5,12.3,16.2,35002.00,0.89,0,very high
"Hong Kong, China (SAR)",0.891,83.4,10,15.6,52383.00,0.889,0,very high
Korea (Republic of),0.891,81.5,11.8,17,30345.00,0.888,1,very high
Japan,0.89,83.6,11.5,15.3,36747.00,0.888,-1,very high
Liechtenstein,0.889,79.9,10.3,15.1,87085.00,0.888,-2,very high
Israel,0.888,81.8,12.5,15.7,29966.00,0.886,0,very high
France,0.884,81.8,11.1,16,36629.00,0.884,0,very high
Austria,0.881,81.1,10.8,15.6,42930.00,0.88,0,very high
Belgium,0.881,80.5,10.9,16.2,39471.00,0.88,0,very high
Luxembourg,0.881,80.5,11.3,13.9,58695.00,0.88,0,very high
Finland,0.879,80.5,10.3,17,37366.00,0.879,0,very high
Slovenia,0.874,79.6,11.9,16.8,26809.00,0.874,0,very high
Italy,0.872,82.4,10.1,16.3,32669.00,0.872,0,very high
Spain,0.869,82.1,9.6,17.1,30561.00,0.869,0,very high
Czech Republic,0.861,77.7,12.3,16.4,24535.00,0.861,0,very high
Greece,0.853,80.8,10.2,16.5,24658.00,0.854,0,very high
Brunei Darussalam,0.852,78.5,8.7,14.5,70883.00,0.852,0,very high
Qatar,0.851,78.4,9.1,13.8,119029.00,0.85,0,very high
Cyprus,0.845,79.8,11.6,14,26771.00,0.848,0,very high
Estonia,0.84,74.4,12,16.5,23387.00,0.839,0,very high
Saudi Arabia,0.836,75.5,8.7,15.6,52109.00,0.833,0,very high
Lithuania,0.834,72.1,12.4,16.7,23740.00,0.831,1,very high
Poland,0.834,76.4,11.8,15.5,21487.00,0.833,-1,very high
Andorra,0.83,81.2,10.4,11.7,40597.00,0.83,0,very high
Slovakia,0.83,75.4,11.6,15,25336.00,0.829,1,very high
Malta,0.829,79.8,9.9,14.5,27022.00,0.827,0,very high
United Arab Emirates,0.827,76.8,9.1,13.3,58068.00,0.825,0,very high
Chile,0.822,80,9.8,15.1,20804.00,0.819,1,very high
Portugal,0.822,79.9,8.2,16.3,24130.00,0.822,0,very high
Hungary,0.818,74.6,11.3,15.4,21239.00,0.817,0,very high
Bahrain,0.815,76.6,9.4,14.4,32072.00,0.813,0,very high
Cuba,0.815,79.3,10.2,14.5,19844.00,0.813,0,very high
Kuwait,0.814,74.3,7.2,14.6,85820.00,0.813,-2,very high
Croatia,0.812,77,11,14.5,19025.00,0.812,0,very high
Latvia,0.81,72.2,11.5,15.5,22186.00,0.808,0,very high
Argentina,0.808,76.3,9.8,16.4,17297.00,0.806,0,very high
Uruguay,0.79,77.2,8.5,15.5,18108.00,0.787,2,high
Bahamas,0.789,75.2,10.9,12.6,21414.00,0.788,0,high
Montenegro,0.789,74.8,10.5,15.2,14710.00,0.787,1,high
Belarus,0.786,69.9,11.5,15.7,16403.00,0.785,1,high
Romania,0.785,73.8,10.7,14.1,17433.00,0.782,1,high
Libya,0.784,75.3,7.5,16.1,21666.00,0.789,-5,high
Oman,0.783,76.6,6.8,13.6,42191.00,0.781,0,high
Russian Federation,0.778,68,11.7,14,22617.00,0.777,0,high
Bulgaria,0.777,73.5,10.6,14.3,15402.00,0.776,0,high
Barbados,0.776,75.4,9.4,15.4,13604.00,0.776,-1,high
Palau,0.775,72.4,12.2,13.7,12823.00,0.773,0,high
Antigua and Barbuda,0.774,76,8.9,13.8,18800.00,0.773,-1,high
Malaysia,0.773,75,9.5,12.7,21824.00,0.77,0,high
Mauritius,0.771,73.6,8.5,15.6,16777.00,0.769,0,high
Trinidad and Tobago,0.766,69.9,10.8,12.3,25325.00,0.765,0,high
Lebanon,0.765,80,7.9,13.2,16263.00,0.764,0,high
Panama,0.765,77.6,9.4,12.4,16379.00,0.761,2,high
Venezuela (Bolivarian Republic of),0.764,74.6,8.6,14.2,17067.00,0.763,-1,high
Costa Rica,0.763,79.9,8.4,13.5,13012.00,0.761,-1,high
Turkey,0.759,75.3,7.6,14.4,18391.00,0.756,0,high
Kazakhstan,0.757,66.5,10.4,15,19441.00,0.755,0,high
Mexico,0.756,77.5,8.5,12.8,15854.00,0.755,-1,high
Seychelles,0.756,73.2,9.4,11.6,24632.00,0.755,-1,high
Saint Kitts and Nevis,0.75,73.6,8.4,12.9,20150.00,0.749,0,high
Sri Lanka,0.75,74.3,10.8,13.6,9250.00,0.745,2,high
Iran (Islamic Republic of),0.749,74,7.8,15.2,13451.00,0.749,-2,high
Azerbaijan,0.747,70.8,11.2,11.8,15725.00,0.745,-1,high
Jordan,0.745,73.9,9.9,13.3,11337.00,0.744,0,high
Serbia,0.745,74.1,9.5,13.6,11301.00,0.743,1,high
Brazil,0.744,73.9,7.2,15.2,14275.00,0.742,1,high
Georgia,0.744,74.3,12.1,13.2,6890.00,0.741,2,high
