Student,HW3,Test1,Test2,Test3,Gender,Year,GPA,CrHrs,Stick,ClassRow,CokePepsi,siblings,countries,jobs,DogCat
1,19,86,102,96,Female,Sophomore,3.8,15.5,no,1,Coke,3,13,6,Dog
2,21,98,99,95,Female,Sophomore,3.8,15.5,no,1,Pepsi,1,4,2,Cat
3,21,90,96,90,Female,Sophomore,3.05,15.5,no,1,Coke,2,1,2,Dog
4,21,96,100,99,Female,Sophomore,4,15,no,1,Coke,3,3,4,Dog
5,21,84,95,90,Female,Sophomore,3,18.5,yes,2,Neither,2,2,6,Cat
6,21,97,94,94,Female,Junior,3.3,19,no,2,Coke,0,13,8,Cat
7,21,98,96,96,Male,Sophomore,4,15,yes,2,Neither,2,0,5,Dog
8,20,95,77,93,Male,Sophomore,3.61,16.5,no,2,Coke,1,0,4,Dog
9,18,83,89,89,Male,Senior,3.1,17,no,2,Pepsi,1,0,4,Cat
10,17,80,85,87,Female,Junior,3.79,19,no,5,Coke,4,8,6,Dog
11,21,90,85,93,Female,Junior,3.61,15,yes,5,Coke,1,11,5,Cat
12,21,91,87,91,Female,Junior,3.6,17.5,no ,5,Pepsi,1,12,5,Dog
13,18,89,87,85,Female,Junior,3.8,18,no,5,Coke,0,0,5,Dog
14,18,78,80,88,Male,Junior,3,17,yes,5,Coke,2,1,5,Dog
15,18,92,87,93,Male,Junior,3.5,15,no,5,Neither,2,15,4,Dog
16,18,69,93,91,Male,Sophomore,3.6,16,yes,5,Pepsi,1,2,2,Dog
17,19,65,95,97,Male,Junior,3.32,15,no,5,Pepsi,2,7,6,Dog
18,18,62,89,84,Male,Junior,3.32,17,yes,4,Neither,1,10,3,Dog
19,20,93,97,99,Female,Sophomore,3,15.5,no,4,Coke,1,5,3,Cat
20,21,81,95,96,Female,Sophomore,3.6,15,yes ,4,Pepsi,1,2,3,Dog
21,18,91,83,90,Female,Junior,3.5,18,yes,4,Coke,3,16,5,Dog
22,18,98,95,96,Male,Sophomore,3.75,15,no,4,Neither,3,1,4,Dog
23,19,56,86,72,Male,Junior,2.95,18,yes,4,Pepsi,1,1,3,Dog
24,15,56,93,93,Male,Junior,3.4,15,yes,4,Coke,1,3,5,Dog
25,19,96,99,87,Female,Junior,3.9,15.5,no,4,Coke,2,9,5,Dog
26,18.5,90,103,90,Male,Sophomore,3.82,18,no,3,Neither,1,0,7,Dog
27,2,68,85,66,Female,Sophomore,3.2,18,no,3,Coke,2,0,7,Dog
28,17,97,89,88,Male,Junior,3.58,15,no,3,Coke,2,3,8,Dog
29,20,92,86,90,Female,Junior,3.4,18,yes,3,Neither,1,4,4,Dog
30,17,92,95,94,Female,Junior,3.17,16,no,3,Pepsi,1,0,4,Dog
31,19,93,90,95,Female,Sophomore,3.7,18.5,yes,3,Coke,1,4,3,Dog
32,11,46,78,76,Male,Junior,2.07,15.5,no,2,Pepsi,2,3,1,Cat
33,15,91,96,94,Male,Junior,3.04,17,no,2,Neither,2,6,4,Dog
34,20,95,99,95,Male,Sophomore,4,16.5,no,2,Neither,1,20,2,Dog
35,18,84,95,89,Female,Senior,3,15,yes,1,Coke,1,6,4,Dog
36,16,33,76,47,Male,Junior,2.53,16,yes,1,Coke,1,0,3,Dog
