Gender,GPA,72stress ,Stick,GradSchl,ClassRow,siblings,Laptop,countries,jobs,tattoos,pets,HW3,Test3
Male,3.06,3,yes,no,5,1,Sony,2,1,0,0,24,74
Male,3.77,4,no,yes,5,2,HP,0,2,0,3,48,89
Male,2,4,yes,no,5,4,HP,12,0,0,1,47,65
Female,3.7,9,yes,no,5,4,Mac,2,2,0,0,21.5,92.5
Female,3.3,7.5,yes,yes,4,4,HP,6,1,0,2,25,92
Male,3.94,3,yes,no,4,2,Dell,35,0,1,1,50,91
Female,3.03,6,no,no,4,2,HP,3,1,1,1,15,52
Male,3.09,5,no,no,4,2,HP,1,1,0,1,9,59
Male,3.9,4,no,no,4,3,Mac,0,2,0,2,32,85
Male,3.3,4,yes,no,4,1,Mac,2,1,0,1,41,90
Male,3.6,2,no ,yes,4,0,HP,2,1,0,0,32,94
Female,3.5,5,yes ,no,3,1,Mac,3,1,0,0,47.5,93
Female,3.81,3,no,yes,3,1,Mac,2,1,0,1,50.5,98
Male,2.9,3,yes,no,3,1,Mac,0,1,2,1,26.5,86
Female,3.63,3,no,no,3,2,Mac,2,1,0,0,44,94
Female,3.77,7,no,no,3,2,Dell,8,1,0,1,34,88
Female,2.75,5,no,yes,3,1,Dell,3,1,0,1,46,88
Female,3.5,4,yes,no,3,2,Mac,1,0,3,7,45.5,87
Female,3.47,4,yes ,yes,3,2,Mac,1,2,0,1,44.5,95
Male,2.7,7,no,no,3,1,Toshiba,1,1,0,0,0,0
Male,3.25,5,yes,no,2,1,Mac,14,1,0,2,29,74
Female,3.5,3,no,no,2,1,Dell,6,0,0,0,44,92
Male,2.9,6,yes,no,2,2,Apple,12,2,0,0,29,83
Male,3.25,3,no,yes,2,3,Asus,1,2,0,0,48.58,98
Female,2.88,6,no,yes,2,1,Mac,0,3,0,1,5,82
Male,3.2,10,yes,no,2,2,HP,7,3,3,5,0,43
Female,3.56,1,no,yes,2,2,Dell,1,1,0,0,52,95
Male,2.93,10,no,no,2,3,HP,8,4,0,4,6,80
Female,2.91,7.5,yes,no,2,3,Mac,2,1,0,0,38.5,87
Male,3.8,3,no,no,1,3,Mac,4,2,0,0,36,87
Male,3.8,3,no,yes,1,2,Dell,1,1,0,0,45.5,90
Male,2.82,4,no,no,1,2,Dell,0,2,0,2,44.5,74
Female,3.5,1,no,no,1,1,Mac,8,1,0,1,45.5,90
Male,2.77,8,yes,yes,1,2,Toshiba,20,0,0,2,36.5,74
Male,3,6,no,no,1,2,HP,2,0,0,3,44,86
Male,3.9,2,yes,no,4,2,Mac,1,1,0,1,39.5,88
Male,3.3,4,no,yes,3,2,Vaio,3,1,0,4,46,91
Male,3.8,0,yes,yes,2,2,HP,5,2,0,0,41,92
Female,3.3,5,no,no,3,1,HP,2,1,0,4,40.5,94
Male,3.7,4,no,yes,5,2,HP,0,1,0,1,14.5,94
Male,2.98,3,no,yes,5,0,HP,0,0,0,1,40,89
Female,3.8,3,yes,yes,5,1,Dell,2,1,0,1,49.5,97
Male,3.4,6,yes,yes,5,2,Mac,9,2,1,1,43,91
Male,3.1,4,no,no,5,1,Dell,3,1,0,0,31.5,92
Male,3.1,4,no,yes,5,0,Mac,0,1,0,1,31.5,66
Male,3.2,1,yes,no,5,1,Mac,4,3,0,1,51.5,90
Male,3.53,8,yes,no,4,1,Mac,2,2,0,2,40,86
Female,3.2,2,yes,yes,4,3,HP,1,2,2,2,41,81
Male,3,6,no,no,4,2,Dell,1,2,0,1,23,69.5
Male,3.6,8,no,yes,4,2,Dell,5,1,0,1,48.5,99
Male,2.95,10,no,no,4,1,Acer,9,1,0,1,13.5,72
Male,2.7,5,yes,no,4,2,PC,3,2,0,1,35,86
Male,3.4,5,yes,yes,4,1,Mac,1,1,1,1,44.5,88.5
Male,3.68,7,yes,no,4,1,Toshiba,5,2,0,1,42,86
Male,3.62,5,no,yes,4,1,Mac,2,1,0,1,35,84
Female,3.9,2,no,no,3,1,HP,3,1,0,1,49,97
Female,3.4,3,no,no,3,3,Mac,2,0,0,2,41,83
Female,3.57,6,no,no,3,3,Apple,5,1,0,2,39,82
Female,3,3,yes,no,3,2,Asus,0,3,0,2,45,89
Female,3,8,no,yes,3,1,HP,1,3,0,0,22,82
Male,3,4,no,no,4,2,Vaio,5,1,0,2,41,75
Male,3.46,4,no,yes,3,3,HP,2,3,0,1,39.5,94
Female,4,5,yes,no,3,1,HP,7,1,0,0,50,96
Female,3.4,5,no,no,2,2,Mac,1,2,2,0,44.5,94
Male,3.46,3,no,no,2,1,Dell,6,1,0,1,40,86
Female,3.6,2,no,no,2,2,Compaq,4,1,0,2,29.5,96
Female,4,3,yes,yes,2,6,Mac,1,3,0,0,49.5,96
Female,2.86,1,no,no,2,1,Dell,10,1,1,2,50,94
Female,4,7,no,yes,2,0,Mac,3,0,1,0,46,82
Male,2.9,6,yes,no,1,1,Mac,4,1,0,1,42,76
Male,3.37,3,yes,no,1,1,Dell,15,1,2,2,44,86
Female,3.5,3,no,yes,1,4,Toshiba,1,2,0,5,43.5,82
Male,2.7,3,yes,no,1,3,Mac,2,1,0,2,38.5,91
