Address,Value,Location,Property,House,Age,Rooms,Baths,Garage
9 Sycamore Road,466.0,Glen Cove,0.2297,2448,46,7,3.5,2
21 Jefferson St,364.0,Glen Cove,0.2192,1942,51,7,2.5,1
38 Hitching Post Lane,429.0,Glen Cove,0.1630,2073,29,5,3,2
4 Poppy Lane,548.4,Glen Cove,0.4608,2707,18,8,2.5,1
5 Daniel Drive,405.9,Glen Cove,0.2549,2042,46,7,1.5,1
15 Francis Terrace,374.1,Glen Cove,0.2290,2089,88,7,2,0
23 Guilfoy Street,315.0,Glen Cove,0.1808,1433,48,7,2,0
17 Carlyle Drive,749.7,Glen Cove,0.5015,2991,7,9,2.5,1
8 Craft Avenue,217.7,Glen Cove,0.2229,1008,52,5,1,0
22 Beechwood Ct.,635.7,Glen Cove,0.1300,3202,15,8,2.5,2
14 Fox Street,350.7,Glen Cove,0.1763,2230,54,8,2,0
7 Raynham Road,455.0,Glen Cove,0.4200,1848,48,7,2,1
2 Jerome Drive,356.2,Glen Cove,0.2520,2100,46,6,2,0
7 Valentine Street,271.7,Glen Cove,0.1148,1846,12,5,3,1
38 Jefferson Street,304.3,Glen Cove,0.1693,1331,64,5,1,1
15 Inwood Road,288.4,Glen Cove,0.1714,1344,52,8,1,0
29 Meadowfield Lane,396.7,Glen Cove,0.3849,1822,44,6,2,1
13 Westland Drive,613.5,Glen Cove,0.6545,2479,46,6,2.5,2
79 Valentine Street,314.1,Glen Cove,0.1722,1605,52,6,3,0
13 Fairmont Place,363.5,Glen Cove,0.1435,2080,78,11,2,0
1 Prestwick Terrace,364.3,Glen Cove,0.2755,2410,71,6,1,1
11 Clement Street,305.1,Glen Cove,0.1148,1753,97,8,2,0
7 Woodland Road,441.7,Glen Cove,0.3636,1884,45,7,2,2
36 Elm Avenue,353.1,Glen Cove,0.1474,2050,41,10,2,2
17 Duke Place,463.3,Glen Cove,0.2281,2978,40,6,2.5,2
12 Prospect Avenue,320.0,Glen Cove,0.4626,2132,82,7,1,0
1 Buckeye Road,332.8,Glen Cove,0.1889,1551,54,6,2,0
30 Ann Street,276.6,Glen Cove,0.1228,1129,44,5,1,0
26 Broadfield Place,397.0,Glen Cove,0.1492,1674,34,7,2,1
16 Jackson Street,221.9,Glen Cove,0.0852,1184,94,5,1,0
182 Village Road,681.4,Roslyn,0.2828,2194,54,7,2.5,1
108 Burnham Avenue,606.0,Roslyn,0.1148,3032,74,8,2.5,1
143 Powerhouse Road,457.9,Roslyn,0.2169,1970,23,6,3,2
55 Hummingbird Drive,912.7,Roslyn,0.3761,3356,41,9,4.5,1
40 Maple Street,416.7,Roslyn,0.1359,2070,31,10,2,1
47 Magnolia Lane,726.6,Roslyn,0.2427,2826,54,8,2,1
35 Harding Avenue,393.1,Roslyn,0.1540,1606,76,9,2,0
100 Crescent Lane,612.4,Roslyn,0.2348,2063,54,6,2.5,1
222 Garden Street,355.4,Roslyn,0.2217,1392,85,7,1,0
6 Church Street,299.0,Roslyn,0.1750,1120,19,6,1.5,0
